,datetime,cellid,value
543,2024-05-14 14:30:00,1,144.42
544,2024-05-14 14:30:00,2,180.31
545,2024-05-14 14:30:00,3,127.96
546,2024-05-14 14:45:00,1001,0.0
547,2024-05-14 14:45:00,1002,0.0
548,2024-05-14 14:45:00,1003,41.88
549,2024-05-14 14:45:00,1,130.47
550,2024-05-14 14:45:00,2,121.88
551,2024-05-14 14:45:00,3,62.57
552,2024-05-14 14:30:00,1001,0.0
553,2024-05-14 14:30:00,1002,0.0
554,2024-05-14 14:30:00,1003,0.0
555,2024-05-14 14:30:00,1,144.42
556,2024-05-14 14:30:00,2,180.31
557,2024-05-14 14:30:00,3,127.96
558,2024-05-14 14:45:00,1001,0.0
559,2024-05-14 14:45:00,1002,0.0
560,2024-05-14 14:45:00,1003,41.88
561,2024-05-14 14:45:00,1,130.47
562,2024-05-14 14:45:00,2,121.88
563,2024-05-14 14:45:00,3,62.57
564,2024-05-14 14:30:00,1001,0.0
565,2024-05-14 14:30:00,1002,0.0
566,2024-05-14 14:30:00,1003,0.0
567,2024-05-14 14:30:00,1,144.42
568,2024-05-14 14:30:00,2,180.31
569,2024-05-14 14:30:00,3,127.96
570,2024-05-14 14:45:00,1001,0.0
571,2024-05-14 14:45:00,1002,0.0
572,2024-05-14 14:45:00,1003,41.88
573,2024-05-14 14:45:00,1,130.47
574,2024-05-14 14:45:00,2,121.88
575,2024-05-14 14:45:00,3,62.57
576,2024-05-14 14:45:00,1001,0.0
577,2024-05-14 14:45:00,1002,0.0
578,2024-05-14 14:45:00,1003,41.88
579,2024-05-14 14:45:00,1,130.47
580,2024-05-14 14:45:00,2,121.88
581,2024-05-14 14:45:00,3,62.57
582,2024-05-14 14:45:00,1001,0.0
583,2024-05-14 14:45:00,1002,0.0
584,2024-05-14 14:45:00,1003,41.88
585,2024-05-14 14:45:00,1,130.47
586,2024-05-14 14:45:00,2,121.88
587,2024-05-14 14:45:00,3,62.57
